species_name,Survey 1,Survey 2,Survey 3,Survey 4,Survey 5,Survey 6,Survey 7,Survey 8,Survey 9,Survey 10,Survey 11,Survey 12,Survey 13,Survey 14,Survey 15,Survey 16,Survey 17,Survey 18,Survey 19,Survey 20,Survey 21,Survey 22,Survey 23,Survey 24,Survey 25,Survey 26,Survey 27,Survey 28,Survey 29,Survey 30,Survey 31,Survey 32,Survey 33,Survey 34,Survey 35,Survey 36,Survey 37,Survey 38,Survey 39,Survey 40,Survey 41,Survey 42,Survey 43
Acanthurus grammoptilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,2,0,0,4,1,0,0,0,5,0,4,2,0,1,0,0
Chaetodon plebeius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,4,2,2,5,0,3
Epinephelus polyphekadion,1,2,0,0,0,0,1,0,1,4,0,1,1,1,4,2,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pomacentrus lepidogenys,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,0,0,0,1,6,0,0,5,0,0,0,0,0,4
Centropyge bicolor,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,3,3,0,6,1,0,0,0,0,5,0,0,0,0,0,0,0,0
Centropyge loricula,0,4,2,6,3,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halichoeres ornatissimus,0,3,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetodon reticulatus,0,4,1,0,3,0,0,1,0,2,0,0,2,0,4,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monotaxis grandoculis,2,1,0,0,0,0,0,1,1,0,3,5,0,2,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cetoscarus ocellatus,0,0,0,0,0,1,0,1,0,4,5,1,0,1,2,0,1,0,0,3,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthurus pyroferus,0,1,0,1,0,0,0,0,0,3,0,0,0,2,0,2,0,0,3,0,0,0,1,2,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthurus thompsoni,0,2,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,2,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Epinephelus merra,2,0,0,0,0,1,1,0,1,1,0,1,3,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Scarus ghobban,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,3,3,0,0
Amblyglyphidodon curacao,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
Epinephelus fasciatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,3,2,1,4,0,1
Plectroglyphidodon dickii,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Chaetodon kleinii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,2,0,2,4,0,0,0,0,4,0,0,0,0,0,0,2,0
Caesio cuning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,3,2,2,0,0,0,0,5,0,0,0,0,0,0,0
Pygoplites diacanthus,0,0,0,0,0,0,1,3,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,2,0,0,1,0,0,0,0,2,1
Caranx melampygus,0,1,0,4,1,0,2,1,2,2,0,2,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macropharyngodon meleagris,0,0,1,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Halichoeres marginatus,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,1,0,0,0,1,0,0,0,3
Heniochus chrysostomus,0,2,1,0,0,0,0,1,0,0,2,1,1,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Chromis xanthura,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,2,0,3,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Halichoeres solorensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudanthias huchtii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0
Synodus variegatus,2,0,0,0,0,0,1,5,0,0,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0
Stegastes fasciolatus,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0
Aphareus furca,0,4,0,0,1,0,0,0,0,1,0,0,0,0,3,3,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amblyglyphidodon aureus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0
Scarus frenatus,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5
Chrysiptera talboti,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0
Cheilinus fasciatus,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0
Chaetodon ornatissimus,1,0,1,0,0,0,0,2,0,1,0,0,2,0,2,0,0,1,5,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macropharyngodon ornatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,0,0,1,9,0,0,2,0,0,0,0,0
Stegastes nigricans,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0
Scarus altipinnis,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Fistularia commersonii,3,0,0,0,0,0,0,0,0,1,2,0,1,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Cirrhilabrus cyanopleura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Coris aygula,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0
Coris batuensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,2,0,0,0,0,0,0,0,0,6
Cheilodipterus quinquelineatus,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,2,2,0,1,4
Chaetodon baronessa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1
Neoglyphidodon melas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,1,0,1,1,1,0,0,4,0,0,0,0,1,0,0,0,1
Myripristis kuntee,4,3,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lethrinus atkinsoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,2,0,0,0,1
Cephalopholis cyanostigma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,1,0,2,2,2,0,0,1,0,0,1
Diproctacanthus xanthurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,3,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
Canthigaster valentini,2,1,0,0,0,0,1,0,1,1,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Pycnochromis atripes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,4,0
Triaenodon obesus,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Abudefduf sexfasciatus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,2,0,0,0
Pycnochromis acares,0,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pomacentrus wardi,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6
Anampses twistii,0,1,0,0,0,0,2,2,1,0,2,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Siganus argenteus,0,0,0,0,0,0,2,0,2,1,0,4,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudochromis fuscus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,5,2,0,0,1
Pomacentrus milleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0
Centropyge vrolikii,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,0,0,0,0,0,3,0,1,0,0,0,0,1,1
Myripristis berndti,0,3,2,0,0,0,0,2,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bodianus axillaris,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0
Acanthurus triostegus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,2,0,5,0,0
